iter	Logloss
0	0.6456906738
1	0.6009177246
2	0.5678138428
3	0.5341728516
4	0.499168335
5	0.4670611267
6	0.4389234009
7	0.4211508179
8	0.3994938354
9	0.3791581421
10	0.3619393311
11	0.3470340881
12	0.3323583984
13	0.3222134399
14	0.3132756348
15	0.3040786743
16	0.296262207
17	0.2889068909
18	0.2825036011
19	0.2763858643
20	0.2700306396
21	0.2649868164
22	0.2608630981
23	0.256643158
24	0.2532358704
25	0.2488424225
26	0.2458569489
27	0.2425542603
28	0.2406546936
29	0.2378421783
30	0.2361312408
31	0.2340471039
32	0.2316412354
33	0.2307225037
34	0.2294211426
35	0.2279203186
36	0.2265979004
37	0.2255669556
38	0.2232120972
39	0.2212813263
40	0.2208972015
41	0.2197853394
42	0.2185930328
43	0.217883606
44	0.2167537079
45	0.21589711
46	0.2151574097
47	0.2144675903
48	0.2135500793
49	0.2124269257
50	0.211075592
51	0.2104314423
52	0.209545929
53	0.20892659
54	0.208275116
55	0.207636673
56	0.2068373108
57	0.2058734283
58	0.2052761536
59	0.2047667694
60	0.2045888367
61	0.2040268402
62	0.2032761841
63	0.2027741394
64	0.2021835938
65	0.2020527649
66	0.2015997925
67	0.2014130096
68	0.2013219452
69	0.20108255
70	0.2006505432
71	0.2000529938
72	0.1998994904
73	0.1997225952
74	0.1993691406
75	0.1989569702
76	0.1987876892
77	0.1986796265
78	0.1981605377
79	0.1975843048
80	0.1972088318
81	0.1966555328
82	0.1965876465
83	0.1964693298
84	0.1962112427
85	0.1957673645
86	0.1954098206
87	0.195258728
88	0.1947804565
89	0.1946586914
90	0.1945405884
91	0.1943692932
92	0.19352005
93	0.193280426
94	0.1931662598
95	0.192688446
96	0.1925514679
97	0.1920632019
98	0.191710556
99	0.1915448456
100	0.1913963623
101	0.1912865601
102	0.1911114502
103	0.1906343689
104	0.1902844238
105	0.1898564758
106	0.189680542
107	0.189478363
108	0.1891470795
109	0.1889851074
110	0.1888921814
111	0.1887509155
112	0.1883994446
113	0.1882623291
114	0.1880396118
115	0.187533432
116	0.1873978577
117	0.1872599945
118	0.1871376343
119	0.187046936
120	0.1867324371
121	0.1863937988
122	0.1862376556
123	0.1861504822
124	0.1860498962
125	0.1856946259
126	0.1855509033
127	0.185437851
128	0.1853508453
129	0.1851871948
130	0.1848892365
131	0.1846213226
132	0.1844980011
133	0.1844436646
134	0.1842696838
135	0.1841135864
136	0.1839212036
137	0.1836166687
138	0.183422287
139	0.1833193817
140	0.1830218964
141	0.1827877045
142	0.182610199
143	0.1824868164
144	0.1824282532
145	0.1823410339
146	0.1822512817
147	0.1821472931
148	0.1819799805
149	0.1818977661
150	0.181762619
151	0.1815493164
152	0.1813008423
153	0.1811699524
154	0.1810620728
155	0.1809034119
156	0.1807844391
157	0.1806738434
158	0.1805532227
159	0.1803511963
160	0.1802362518
161	0.1800807343
162	0.1800314178
163	0.1798929291
164	0.1797160339
165	0.1795677795
166	0.1793322754
167	0.1792112579
168	0.1790881958
169	0.1789665833
170	0.1787345276
171	0.1786134033
172	0.1784745178
173	0.178346817
174	0.1782533112
175	0.1780730286
176	0.1779812927
177	0.1776642456
178	0.1775876465
179	0.1774909973
180	0.1773057251
181	0.1771367798
182	0.1770848999
183	0.1769915161
184	0.1768771362
185	0.1767387085
186	0.1767002258
187	0.1764940186
188	0.176296936
189	0.1761109467
190	0.1760225983
191	0.1758101196
192	0.1757230377
193	0.1756227722
194	0.175503418
195	0.1754350433
196	0.1752404785
197	0.1751270142
198	0.1750419617
199	0.1747110138
200	0.1745917358
201	0.1744459076
202	0.1742360535
203	0.1740918579
204	0.1739134979
205	0.173803299
206	0.1736875763
207	0.1736149139
208	0.1733880005
209	0.1733098755
210	0.1732383118
211	0.1731765442
212	0.1731320953
213	0.1729294128
214	0.1727800446
215	0.172648468
216	0.1725141144
217	0.1724048615
218	0.1721209259
219	0.1720695953
220	0.1718086548
221	0.1716650085
222	0.1715371246
223	0.1714197693
224	0.1711904297
225	0.1710811462
226	0.1709389954
227	0.1705570374
228	0.1704832916
229	0.170364502
230	0.1703163757
231	0.1701305695
232	0.1700076599
233	0.1699364014
