iter	Passed	Remaining
0	163	81831
1	167	41785
2	170	28314
3	174	21582
4	177	17550
5	180	14866
6	184	12962
7	187	11518
8	190	10400
9	193	9493
10	196	8751
11	199	8132
12	203	7618
13	206	7184
14	210	6792
15	213	6451
16	216	6155
17	220	5894
18	223	5664
19	227	5451
20	230	5261
21	234	5086
22	238	4937
23	241	4785
24	244	4650
25	247	4518
26	251	4401
27	254	4293
28	257	4188
29	261	4093
30	264	4002
31	267	3917
32	271	3841
33	274	3763
34	277	3689
35	280	3621
36	284	3561
37	288	3504
38	291	3448
39	295	3397
40	299	3351
41	303	3308
42	306	3260
43	310	3212
44	313	3167
45	316	3124
46	319	3082
47	322	3041
48	326	3002
49	329	2963
50	332	2928
51	335	2894
52	339	2860
53	342	2828
54	345	2797
55	349	2768
56	352	2739
57	355	2711
58	359	2683
59	362	2657
60	365	2632
61	369	2607
62	372	2584
63	375	2561
64	379	2540
65	383	2520
66	386	2499
67	389	2477
68	393	2457
69	396	2437
70	400	2418
71	403	2398
72	406	2379
73	410	2361
74	413	2343
75	416	2325
76	420	2308
77	424	2294
78	427	2280
79	432	2268
80	435	2253
81	439	2239
82	442	2223
83	445	2208
84	449	2193
85	452	2179
86	456	2165
87	459	2151
88	462	2137
89	466	2125
90	470	2113
91	473	2101
92	477	2089
93	481	2078
94	484	2067
95	488	2056
96	492	2045
97	496	2035
98	499	2025
99	503	2014
100	508	2007
101	511	1997
102	516	1989
103	519	1979
104	523	1969
105	527	1960
106	531	1952
107	535	1943
108	539	1934
109	542	1924
110	546	1915
111	549	1905
112	553	1894
113	556	1884
114	560	1875
115	563	1865
116	566	1855
117	570	1845
118	573	1835
119	577	1828
120	581	1820
121	584	1811
122	588	1803
123	592	1797
124	596	1788
125	599	1780
126	603	1772
127	607	1765
128	611	1758
129	615	1750
130	618	1743
131	622	1736
132	626	1729
133	630	1721
134	634	1714
135	638	1708
136	641	1700
137	645	1693
138	649	1685
139	652	1678
140	656	1670
141	659	1663
142	662	1655
143	666	1647
144	669	1639
145	673	1632
146	676	1624
147	679	1617
148	683	1609
149	686	1602
150	690	1595
151	693	1587
152	697	1580
153	700	1573
154	703	1566
155	707	1561
156	711	1554
157	714	1546
158	718	1540
159	721	1533
160	725	1527
161	729	1521
162	732	1515
163	736	1509
164	740	1503
165	744	1498
166	748	1492
167	752	1486
168	756	1481
169	760	1475
170	763	1469
171	767	1463
172	771	1458
173	775	1452
174	778	1446
175	782	1440
176	786	1434
177	789	1428
178	793	1423
179	797	1416
180	800	1411
181	805	1406
182	808	1400
183	812	1394
184	815	1388
185	819	1383
186	823	1378
187	827	1373
188	831	1368
189	835	1363
190	839	1358
191	844	1354
192	851	1355
193	858	1354
194	864	1352
195	873	1354
196	881	1355
197	889	1356
198	895	1354
199	904	1356
200	909	1352
201	913	1348
202	918	1343
203	923	1339
204	929	1337
205	934	1334
206	938	1328
207	942	1323
208	946	1317
209	950	1312
210	954	1306
211	957	1301
212	961	1295
213	965	1290
214	969	1284
215	973	1279
216	976	1273
217	980	1268
218	984	1262
219	988	1257
220	991	1252
221	995	1246
222	999	1241
223	1002	1235
224	1006	1229
225	1011	1225
226	1016	1222
227	1019	1216
228	1023	1211
229	1027	1205
230	1031	1201
231	1035	1196
232	1039	1191
233	1043	1186
234	1047	1181
235	1051	1176
236	1055	1170
237	1058	1165
238	1062	1160
239	1066	1155
240	1069	1149
241	1073	1144
242	1078	1140
243	1082	1135
244	1085	1130
245	1089	1125
246	1093	1119
247	1096	1114
248	1100	1108
249	1103	1103
250	1106	1097
251	1110	1092
252	1114	1087
253	1117	1082
254	1120	1076
255	1124	1071
256	1128	1066
257	1131	1061
258	1135	1056
259	1138	1051
260	1142	1046
261	1146	1041
262	1150	1036
263	1153	1031
264	1156	1026
265	1160	1020
266	1163	1015
267	1167	1010
268	1170	1005
269	1174	1000
270	1177	995
271	1181	990
272	1185	985
273	1189	980
274	1193	976
275	1197	971
276	1201	967
277	1205	962
278	1209	957
279	1212	952
280	1215	947
281	1219	942
282	1222	937
283	1225	932
284	1229	927
285	1233	922
286	1237	918
287	1241	913
288	1244	908
289	1248	904
290	1252	899
291	1256	894
292	1259	890
293	1263	885
294	1267	880
295	1271	876
296	1274	871
297	1278	866
298	1281	861
299	1284	856
300	1288	851
301	1291	846
302	1295	842
303	1298	837
304	1301	832
305	1305	827
306	1308	822
307	1312	817
308	1315	813
309	1318	808
310	1322	803
311	1325	798
312	1329	794
313	1332	789
314	1336	784
315	1339	780
316	1343	775
317	1347	771
318	1351	766
319	1355	762
320	1358	757
321	1362	753
322	1365	748
323	1369	743
324	1372	739
325	1376	734
326	1379	729
327	1382	725
328	1386	720
329	1390	716
330	1393	711
331	1397	706
332	1400	702
333	1404	697
334	1407	693
335	1411	688
336	1415	684
337	1418	679
338	1422	675
339	1425	670
340	1429	666
341	1432	661
342	1436	657
343	1441	653
344	1445	649
345	1450	645
346	1455	641
347	1460	637
348	1465	633
349	1469	629
350	1473	625
351	1476	620
352	1480	616
353	1484	612
354	1488	607
355	1491	603
356	1495	599
357	1499	594
358	1503	590
359	1507	586
360	1510	581
361	1514	577
362	1518	573
363	1522	568
364	1526	564
365	1530	560
366	1534	556
367	1537	551
368	1541	547
369	1544	542
370	1548	538
371	1551	533
372	1555	529
373	1558	525
374	1561	520
375	1565	516
376	1568	511
377	1571	507
378	1575	503
379	1579	498
380	1582	494
381	1586	490
382	1589	485
383	1593	481
384	1596	476
385	1600	472
386	1603	468
387	1607	464
388	1611	459
389	1614	455
390	1618	451
391	1622	447
392	1626	442
393	1629	438
394	1633	434
395	1637	429
396	1640	425
397	1644	421
398	1648	417
399	1651	412
400	1655	408
401	1659	404
402	1663	400
403	1667	396
404	1670	391
405	1673	387
406	1677	383
407	1681	379
408	1684	374
409	1687	370
410	1691	366
411	1694	361
412	1698	357
413	1701	353
414	1704	349
415	1708	344
416	1711	340
417	1715	336
418	1718	332
419	1721	327
420	1725	323
421	1728	319
422	1732	315
423	1735	311
424	1739	306
425	1742	302
426	1745	298
427	1749	294
428	1753	290
429	1756	285
430	1760	281
431	1763	277
432	1766	273
433	1770	269
434	1774	265
435	1777	260
436	1780	256
437	1784	252
438	1787	248
439	1791	244
440	1794	240
441	1797	235
442	1801	231
443	1805	227
444	1809	223
445	1812	219
446	1816	215
447	1820	211
448	1823	207
449	1827	203
450	1831	198
451	1835	194
452	1839	190
453	1843	186
454	1847	182
455	1851	178
456	1854	174
457	1858	170
458	1861	166
459	1865	162
460	1868	158
461	1872	153
462	1875	149
463	1878	145
464	1882	141
465	1885	137
466	1889	133
467	1893	129
468	1897	125
469	1901	121
470	1905	117
471	1909	113
472	1913	109
473	1917	105
474	1921	101
475	1924	97
476	1929	93
477	1933	88
478	1937	84
479	1940	80
480	1944	76
481	1947	72
482	1951	68
483	1954	64
484	1958	60
485	1961	56
486	1965	52
487	1969	48
488	1972	44
489	1977	40
490	1982	36
491	1986	32
492	1990	28
493	1994	24
494	1998	20
495	2002	16
496	2006	12
497	2010	8
498	2014	4
499	2018	0
